player,FG_URL,position,fangraphs_id,mlbam_id,franchise_abbr,HTD
Fernando Abad ,https://www.fangraphs.com/players/Fernando-Abad/4994/stats,P,4994,472551,CHW,0
Albert Abreu ,https://www.fangraphs.com/players/Albert-Abreu/17485/stats,P,17485,656061,CHC,2
Domingo Acevedo ,https://www.fangraphs.com/players/Domingo-Acevedo/17092/stats,P,17092,642758,CHC,1
Ehire Adrianza ,https://www.fangraphs.com/players/Ehire-Adrianza/8418/stats,2B,8418,501303,NYY,0
Jesus Aguilar ,https://www.fangraphs.com/players/Jesus-Aguilar/11342/stats,1B,11342,542583,MIL,2
Hanser Alberto ,https://www.fangraphs.com/players/Hanser-Alberto/11902/stats,SS,11902,593643,COL,1
Jorge Alcala ,https://www.fangraphs.com/players/Jorge-Alcala/19459/stats,P,19459,660896,LAD,2
Scott Alexander ,https://www.fangraphs.com/players/Scott-Alexander/10591/stats,P,10591,518397,TOR,1
Jorge Alfaro ,https://www.fangraphs.com/players/Jorge-Alfaro/12180/stats,C,12180,595751,NYM,0
Abraham Almonte ,https://www.fangraphs.com/players/Abraham-Almonte/5486/stats,CF,5486,501659,MIL,2
Daniel Altavilla ,https://www.fangraphs.com/players/Daniel-Altavilla/16507/stats,P,16507,656186,ATL,1
Jose Alvarado ,https://www.fangraphs.com/players/Jose-Alvarado/17780/stats,P,17780,621237,TOR,1
Eddy Alvarez ,https://www.fangraphs.com/players/Eddy-Alvarez/16959/stats,2B,16959,657193,BAL,1
Chase Anderson ,https://www.fangraphs.com/players/Chase-Anderson/6895/stats,P,6895,502624,KC,0
Grant Anderson ,https://www.fangraphs.com/players/Grant-Anderson/20546/stats,P,20546,681982,CHW,2
Justin Anderson ,https://www.fangraphs.com/players/Justin-Anderson/16201/stats,P,16201,605121,COL,1
Shaun Anderson ,https://www.fangraphs.com/players/Shaun-Anderson/19453/stats,P,19453,641312,STL,2
Matt Andriese ,https://www.fangraphs.com/players/Matt-Andriese/12022/stats,P,12022,542882,KC,0
Elvis Andrus ,https://www.fangraphs.com/players/Elvis-Andrus/8709/stats,SS,8709,462101,DET,2
Anthony Banda ,https://www.fangraphs.com/players/Anthony-Banda/14706/stats,P,14706,607455,BAL,0
Tanner Banks ,https://www.fangraphs.com/players/Tanner-Banks/16990/stats,P,16990,621383,OAK,1
Daniel Bard ,https://www.fangraphs.com/players/Daniel-Bard/7115/stats,P,7115,453268,HOU,1
Scott Barlow ,https://www.fangraphs.com/players/Scott-Barlow/14993/stats,P,14993,605130,TB,2
Austin Barnes ,https://www.fangraphs.com/players/Austin-Barnes/12158/stats,C,12158,605131,DET,0
Jacob Barnes ,https://www.fangraphs.com/players/Jacob-Barnes/12323/stats,P,12323,606930,LAD,1
Matt Barnes ,https://www.fangraphs.com/players/Matt-Barnes/12863/stats,P,12863,598264,MIA,2
Tucker Barnhart ,https://www.fangraphs.com/players/Tucker-Barnhart/10200/stats,C,10200,571466,LAA,1
Kyle Barraclough ,https://www.fangraphs.com/players/Kyle-Barraclough/13713/stats,P,13713,607457,MIL,0
Tres Barrera ,https://www.fangraphs.com/players/Tres-Barrera/19977/stats,C,19977,668663,OAK,2
Anthony Bass ,https://www.fangraphs.com/players/Anthony-Bass/7982/stats,P,7982,542914,TOR,0
Chris Bassitt ,https://www.fangraphs.com/players/Chris-Bassitt/12304/stats,P,12304,605135,LAD,0
Matthew Batten ,https://www.fangraphs.com/players/Matthew-Batten/20157/stats,2B,20157,676946,COL,1
Eduard Bazardo ,https://www.fangraphs.com/players/Eduard-Bazardo/20997/stats,P,20997,660825,PIT,2
Valente Bellozo ,https://www.fangraphs.com/players/Valente-Bellozo/23899/stats,P,23899,678368,MIN,2
Brandon Belt ,https://www.fangraphs.com/players/Brandon-Belt/10264/stats,1B,10264,474832,SD,1
Anthony Bemboom ,https://www.fangraphs.com/players/Anthony-Bemboom/13854/stats,C,13854,621532,LAA,0
Jon Berti ,https://www.fangraphs.com/players/Jon-Berti/12037/stats,2B,12037,542932,NYM,1
Christian Bethancourt ,https://www.fangraphs.com/players/Christian-Bethancourt/10028/stats,C,10028,542194,CLE,1
Phil Bickford ,https://www.fangraphs.com/players/Phil-Bickford/18519/stats,P,18519,641360,MIN,1
Osvaldo Bido ,https://www.fangraphs.com/players/Osvaldo-Bido/23150/stats,P,23150,674370,ATL,2
Jake Bird ,https://www.fangraphs.com/players/Jake-Bird/21267/stats,P,21267,656234,PIT,2
Ty Blach ,https://www.fangraphs.com/players/Ty-Blach/14361/stats,P,14361,621389,OAK,1
